customer_id,free_trial_group,converted
21393799,2,0
20349278,2,0
11655915,2,0
18516581,2,0
7805171,2,0
860364,2,0
8611836,2,0
218943,2,0
8074453,2,0
95176,2,0
17805470,2,0
9175016,2,0
19846353,2,0
18216377,2,0
19976656,2,0
10853924,2,0
20720995,2,0
20047313,2,0
488527,2,0
187776,2,0
7891794,2,0
1105478,2,0
7712557,2,0
8437859,2,0
10524075,2,0
6116688,2,0
7698194,2,0
15940709,2,0
7392888,2,0
22389783,2,0
9314715,2,0
7055034,2,0
24579053,2,0
1260199,2,0
16920620,2,0
9859667,2,0
322880,2,0
5662970,2,0
9728681,2,0
22410297,2,0
24436225,2,0
23877624,2,0
171886,2,0
1167546,2,0
13658339,2,0
5235615,2,0
19654679,2,0
12893167,2,0
13350167,2,0
24188767,2,0
7496625,2,0
6157492,2,0
9701858,2,0
8144098,2,0
7582983,2,0
12235093,2,0
920320,2,0
8010937,2,0
7087722,2,0
20854958,2,0
18449423,2,0
13569103,2,0
8005885,2,0
5924565,2,0
1854874,2,0
1961491,2,0
18514485,2,0
23509938,2,0
19528123,2,0
471890,2,0
20111627,2,0
7950306,2,0
6527510,2,0
7597942,2,0
8208057,2,0
6769955,2,0
21557486,2,0
497153,2,0
12549167,2,0
10892171,2,0
15509613,2,0
6736807,2,0
19396250,2,0
12809861,2,0
5322186,2,0
21658858,2,0
9620305,2,0
14094877,2,0
13779965,2,0
20960029,2,0
10987717,2,0
7968682,2,0
10225121,2,0
15426060,2,0
7668318,2,0
914965,2,0
652712,2,0
23058924,2,0
165468,2,0
96300,2,0
1417241,2,0
596859,2,0
12800508,2,0
8175864,2,0
10214442,2,0
23338211,2,0
16886680,2,0
2203159,2,0
18858746,2,0
1657526,2,0
23141715,2,0
9261568,2,0
24452062,2,0
177463,2,0
5790380,2,0
314370,2,0
366997,2,0
8927901,2,0
9872917,2,0
13849392,2,0
5547158,2,0
5492359,2,0
10600086,2,0
8290971,2,0
5545975,2,0
2166281,2,0
5527040,2,0
13028553,2,0
10082393,2,0
771448,2,0
934446,2,0
13625590,2,0
22549080,2,0
8279912,2,0
21692228,2,0
1984549,2,0
22923268,2,0
890795,2,0
13619651,2,0
6053333,2,0
17247098,2,0
261093,2,0
15537377,2,0
19089134,2,0
13791387,2,0
10750343,2,0
13584611,2,0
8997995,2,0
7497913,2,0
1306711,2,0
16165191,2,0
1402903,2,0
5945824,2,0
16961378,2,0
16766098,2,0
9612825,2,0
1823805,2,0
519447,2,0
10609858,2,0
18925696,2,0
5786195,2,0
7890341,2,0
1863380,2,0
6948200,2,0
651995,2,0
5654921,2,0
13545042,2,0
786500,2,0
16073977,2,0
22093985,2,0
23978495,2,0
8366100,2,0
6914138,2,0
23936062,2,0
19924808,2,0
8912865,2,0
1108644,2,0
14252,2,0
16754012,2,0
24721676,2,0
19666826,2,0
100,2,0
11760306,2,0
5841400,2,0
10769442,2,0
19135683,2,0
1539994,2,0
17813664,2,0
13577287,2,0
7908255,2,0
22660602,2,0
10844895,2,0
449022,2,0
8571727,2,0
23816111,2,0
7753332,2,0
111678,2,0
1972301,2,0
10091854,2,0
533103,2,0
7570447,2,0
68265,2,0
9175153,2,0
22038949,2,0
17517746,2,0
16398710,2,0
359718,2,0
10125719,2,0
10800344,2,0
22012412,2,0
15897583,2,0
1365998,2,0
8697574,2,0
16662669,2,0
7602828,2,0
5547652,2,0
24552121,2,0
9311773,2,0
989852,2,0
13424873,2,0
23340155,2,0
10298052,2,0
8797191,2,0
1727236,2,0
674602,2,0
5487423,2,0
217946,2,0
8316268,2,0
1498771,2,0
16279663,2,0
12684749,2,0
21329741,2,0
12829906,2,0
23333048,2,0
5792412,2,0
13753651,2,0
23878344,2,0
11808284,2,0
9836813,2,0
10092737,2,0
12122278,2,0
20413974,2,0
13442829,2,0
13004046,2,0
13036269,2,0
1702743,2,0
16440720,2,0
22563906,2,0
7177782,2,0
2227241,2,0
23621848,2,0
11611391,2,0
6279090,2,0
796252,2,0
825936,2,0
13183361,2,0
13128793,2,0
13209474,2,0
15034297,2,0
678176,2,0
690507,2,0
5764414,2,0
6016178,2,0
10997854,2,0
10916131,2,0
14489004,2,0
17314075,2,0
23883709,2,0
17454534,2,0
21210615,2,0
20485465,2,0
12379678,2,0
16516326,2,0
2174373,2,0
1061413,2,0
12336686,2,0
20293294,2,0
16247119,2,0
5386417,2,0
6336511,2,0
22833432,2,0
12579600,2,0
10929715,2,0
19876481,2,0
375814,2,0
7855020,2,0
8406884,2,0
24233360,2,0
21431475,2,0
22481150,2,0
1618053,2,0
1789941,2,0
18768182,2,0
1088027,2,0
7810107,2,0
6425007,2,0
7594188,2,0
13594631,2,0
524323,2,0
7500923,2,0
20370586,2,0
6265626,2,0
6988881,2,0
11505261,2,0
17982547,2,0
134015,2,0
5475924,2,0
18857916,2,0
1557058,2,0
882064,2,0
8144889,2,0
7934562,2,0
972756,2,0
259345,2,0
16051943,2,0
585579,2,0
18167836,2,0
8237736,2,0
13981456,2,0
1201066,2,0
956410,2,0
7248904,2,0
14326435,2,0
565703,2,0
24519914,2,0
15825969,2,0
16839002,2,0
8899126,2,0
8275375,2,0
1710864,2,0
10477133,2,0
6124088,2,0
6956526,2,0
7717928,2,0
23317138,2,0
12804565,2,0
6159671,2,0
21371114,2,0
13171560,2,0
19081023,2,0
12208977,2,0
7752737,2,0
398684,2,0
12724433,2,0
16986977,2,0
22948169,2,0
15055736,2,0
6260875,2,0
8565989,2,0
16414064,2,0
12594248,2,0
24036882,2,0
2048092,2,0
21618165,2,0
5198059,2,0
5822419,2,0
1935852,2,0
9191607,2,0
14818725,2,0
5870028,2,0
17768755,2,0
249462,2,0
7925240,2,0
11876517,2,0
19853260,2,0
1993065,2,0
385683,2,0
6288044,2,0
10027323,2,0
1007341,2,0
20222690,2,0
15736201,2,0
19784562,2,0
539667,2,0
22841075,2,0
1180273,2,0
5708744,2,0
7235762,2,0
20056449,2,0
17222464,2,0
6189775,2,0
21495722,2,0
9807989,2,0
8818214,2,0
603426,2,0
14157618,2,0
199577,2,0
5159677,2,0
156656,2,0
41913,2,0
7824321,2,0
20837172,2,0
2106698,2,0
17189931,2,0
5822381,2,0
1604355,2,0
7901511,2,0
7854330,2,0
6337687,2,0
194064,2,0
6343540,2,0
614871,2,0
14509264,2,0
